K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
70,17,7,10.0,2.0,1,1,12,0.969945355
70,17,7,10.0,2.0,1,1,13,0.967213115
70,17,7,10.0,2.0,1,1,14,0.964480874
70,17,7,10.0,2.0,1,1,15,0.961748634
70,17,7,10.0,2.0,1,1,16,0.959016393
70,17,7,10.0,2.0,1,1,17,0.956284153
80,20,8,10.0,2.0,1,0,0,0.787589499
80,20,8,10.0,2.0,1,0,1,1.0
80,20,8,10.0,2.0,1,0,2,1.0
80,20,8,10.0,2.0,1,0,3,1.0
80,20,8,10.0,2.0,1,0,4,1.0
80,20,8,10.0,2.0,1,0,5,1.0
80,20,8,10.0,2.0,1,0,6,1.0
80,20,8,10.0,2.0,1,0,7,1.0
80,20,8,10.0,2.0,1,0,8,1.0
80,20,8,10.0,2.0,1,0,9,1.0
80,20,8,10.0,2.0,1,0,10,1.0
80,20,8,10.0,2.0,1,0,11,1.0
80,20,8,10.0,2.0,1,0,12,1.0
80,20,8,10.0,2.0,1,0,13,1.0
80,20,8,10.0,2.0,1,0,14,1.0
80,20,8,10.0,2.0,1,0,15,1.0
80,20,8,10.0,2.0,1,0,16,1.0
80,20,8,10.0,2.0,1,0,17,1.0
80,20,8,10.0,2.0,1,0,18,1.0
80,20,8,10.0,2.0,1,0,19,1.0
80,20,8,10.0,2.0,1,0,20,1.0
80,20,8,10.0,2.0,1,1,0,0.787589499
80,20,8,10.0,2.0,1,1,1,1.0
80,20,8,10.0,2.0,1,1,2,0.997613365
80,20,8,10.0,2.0,1,1,3,0.99522673
80,20,8,10.0,2.0,1,1,4,0.992840095
80,20,8,10.0,2.0,1,1,5,0.990453461
80,20,8,10.0,2.0,1,1,6,0.988066826
80,20,8,10.0,2.0,1,1,7,0.985680191
80,20,8,10.0,2.0,1,1,8,0.983293556
80,20,8,10.0,2.0,1,1,9,0.980906921
80,20,8,10.0,2.0,1,1,10,0.978520286
80,20,8,10.0,2.0,1,1,11,0.976133652
80,20,8,10.0,2.0,1,1,12,0.973747017
80,20,8,10.0,2.0,1,1,13,0.971360382
80,20,8,10.0,2.0,1,1,14,0.968973747
80,20,8,10.0,2.0,1,1,15,0.966587112
80,20,8,10.0,2.0,1,1,16,0.964200477
80,20,8,10.0,2.0,1,1,17,0.961813842
80,20,8,10.0,2.0,1,1,18,0.959427208
80,20,8,10.0,2.0,1,1,19,0.957040573
80,20,8,10.0,2.0,1,1,20,0.954653938
90,22,9,10.0,2.0,1,0,0,0.790375088
90,22,9,10.0,2.0,1,0,1,1.0
90,22,9,10.0,2.0,1,0,2,1.0
90,22,9,10.0,2.0,1,0,3,1.0
90,22,9,10.0,2.0,1,0,4,1.0
90,22,9,10.0,2.0,1,0,5,1.0
90,22,9,10.0,2.0,1,0,6,1.0
90,22,9,10.0,2.0,1,0,7,1.0
90,22,9,10.0,2.0,1,0,8,1.0
90,22,9,10.0,2.0,1,0,9,1.0
90,22,9,10.0,2.0,1,0,10,1.0
90,22,9,10.0,2.0,1,0,11,1.0
90,22,9,10.0,2.0,1,0,12,1.0
90,22,9,10.0,2.0,1,0,13,1.0
90,22,9,10.0,2.0,1,0,14,1.0
90,22,9,10.0,2.0,1,0,15,1.0
90,22,9,10.0,2.0,1,0,16,1.0
90,22,9,10.0,2.0,1,0,17,1.0
90,22,9,10.0,2.0,1,0,18,1.0
90,22,9,10.0,2.0,1,0,19,1.0
90,22,9,10.0,2.0,1,0,20,1.0
90,22,9,10.0,2.0,1,0,21,1.0
90,22,9,10.0,2.0,1,0,22,1.0
90,22,9,10.0,2.0,1,1,0,0.790375088
90,22,9,10.0,2.0,1,1,1,1.0
90,22,9,10.0,2.0,1,1,2,0.997876858
90,22,9,10.0,2.0,1,1,3,0.995753715
90,22,9,10.0,2.0,1,1,4,0.993630573
90,22,9,10.0,2.0,1,1,5,0.991507431
90,22,9,10.0,2.0,1,1,6,0.989384289
